protein_id	id_type
CAE45681.1	GenBank
CAE45682.1	GenBank
CAE45683.1	GenBank
CAE45684.1	GenBank
CAE45685.1	GenBank
CAE45686.1	GenBank
CAE45687.1	GenBank
CAE45688.1	GenBank
CAE45689.1	GenBank
CAE45690.1	GenBank
CAE45691.1	GenBank
CAE45692.1	GenBank
CAE45693.1	GenBank
CAE45694.1	GenBank
CAE45695.1	GenBank
AEH42470.1	GenBank
AEH42471.1	GenBank
AEH42472.1	GenBank
AEH42473.1	GenBank
AEH42474.1	GenBank
AEH42475.1	GenBank
AEH42476.1	GenBank
AEH42477.1	GenBank
AEH42478.1	GenBank
AEH42479.1	GenBank
AEH42480.1	GenBank
AEH42481.1	GenBank
AEH42482.1	GenBank
AEH42483.1	GenBank
AEH42484.1	GenBank
AEH42485.1	GenBank
AEH42486.1	GenBank
AEH42487.1	GenBank
AEH42488.1	GenBank
AEH42489.1	GenBank
AEH42490.1	GenBank
AEH42491.1	GenBank
AEH42492.1	GenBank
AEH42493.1	GenBank
AEH42494.1	GenBank
AEH42495.1	GenBank
AEH42496.1	GenBank
AEH42497.1	GenBank
AEH42498.1	GenBank
AAM94759.1	GenBank
AAM94760.1	GenBank
AAM94761.1	GenBank
AAM94762.1	GenBank
AAM94763.1	GenBank
AAM94764.1	GenBank
AAM94765.1	GenBank
AAM94766.1	GenBank
AAM94767.1	GenBank
AAM94768.1	GenBank
AAM94769.1	GenBank
AAM94770.1	GenBank
AAM94771.1	GenBank
AAM94772.1	GenBank
AAM94773.1	GenBank
AAM94774.1	GenBank
AAM94775.1	GenBank
AAM94776.1	GenBank
AAM94777.1	GenBank
AAM94778.1	GenBank
AAM94779.1	GenBank
AAM94780.1	GenBank
AAM94781.1	GenBank
AAM94782.1	GenBank
AAM94783.1	GenBank
AAM94784.1	GenBank
AAM94785.1	GenBank
AAM94786.1	GenBank
AAM94787.1	GenBank
AAM94788.1	GenBank
AAM94789.1	GenBank
AAM94790.1	GenBank
AAM94791.1	GenBank
AAM94792.1	GenBank
AAM94793.1	GenBank
AAM94794.1	GenBank
AAM94795.1	GenBank
AAM70329.1	GenBank
AAM70330.1	GenBank
AAM70331.1	GenBank
AAM70332.1	GenBank
AAM70333.1	GenBank
AAM70334.1	GenBank
AAM70335.1	GenBank
AAM70336.1	GenBank
AAM70337.1	GenBank
AAM70338.1	GenBank
AAM70339.1	GenBank
AAM70340.1	GenBank
AAM70341.1	GenBank
AAM70342.1	GenBank
AAM70343.1	GenBank
AAM94796.1	GenBank
AAM70345.1	GenBank
AAM70346.1	GenBank
AAM70347.1	GenBank
AAM70348.1	GenBank
AAM70349.1	GenBank
AAM94797.1	GenBank
AAM94798.1	GenBank
AAM94799.1	GenBank
AAM70353.1	GenBank
AAM70354.1	GenBank
AAM70355.1	GenBank
AAM70356.1	GenBank
AAM70357.1	GenBank
AAM70358.1	GenBank
AAM70359.1	GenBank
AAM94800.1	GenBank
AAM70361.1	GenBank
AAM70362.1	GenBank
AAM70363.1	GenBank
AAM94801.1	GenBank
AAM70365.1	GenBank
AAQ82549.1	GenBank
AAQ82550.2	GenBank
AAQ82551.1	GenBank
AAQ82552.1	GenBank
AAQ82553.1	GenBank
AAQ82554.1	GenBank
AAQ82555.1	GenBank
AAQ82556.1	GenBank
AAQ82557.1	GenBank
AAQ82558.1	GenBank
AAQ82559.1	GenBank
AAQ82560.1	GenBank
AAQ82561.1	GenBank
AAQ82562.1	GenBank
AAQ82563.1	GenBank
AAQ82564.1	GenBank
AAQ82565.1	GenBank
AAQ82566.1	GenBank
AAQ82567.1	GenBank
AAQ82568.1	GenBank
AAQ82569.1	GenBank
AAS79439.1	GenBank
AAS79440.1	GenBank
AAS79441.1	GenBank
AAS79442.1	GenBank
AAS79443.1	GenBank
AAS79444.1	GenBank
AAS79445.1	GenBank
AAS79446.1	GenBank
AAS79447.1	GenBank
AAS79448.1	GenBank
AAS79449.1	GenBank
AAS79450.1	GenBank
AAS79451.1	GenBank
AAS79452.1	GenBank
AAS79453.1	GenBank
AAS79454.1	GenBank
AAS79455.1	GenBank
AAS79456.1	GenBank
AAS79457.1	GenBank
AAS79458.1	GenBank
AAS79459.1	GenBank
AAS79460.1	GenBank
AAS79461.1	GenBank
AAS79462.1	GenBank
AAS79463.1	GenBank
AAS79464.1	GenBank
AAS79465.1	GenBank
AAS79466.1	GenBank
AAS79467.1	GenBank
AAS79468.1	GenBank
AAS79469.1	GenBank
AAS79470.1	GenBank
AAS79471.1	GenBank
AAS79472.1	GenBank
AAS79473.1	GenBank
AAS79474.1	GenBank
AAS79475.1	GenBank
AAS79476.1	GenBank
AAS79477.1	GenBank
AAS79478.1	GenBank
AAS79479.1	GenBank
AAZ77668.1	GenBank
AAZ77669.1	GenBank
AAZ77670.1	GenBank
AAZ77671.1	GenBank
AAZ77672.1	GenBank
AAZ77673.1	GenBank
AAZ77674.1	GenBank
AAZ77675.1	GenBank
AAZ77676.1	GenBank
AAZ77677.1	GenBank
AAZ77678.1	GenBank
AAZ77679.1	GenBank
AAZ77680.1	GenBank
AAZ77681.1	GenBank
AAZ77682.1	GenBank
AAZ77683.1	GenBank
AAZ77684.1	GenBank
AAZ77685.1	GenBank
AAZ77686.1	GenBank
AAZ77687.1	GenBank
AAZ77688.1	GenBank
AAZ77689.1	GenBank
AAZ77690.1	GenBank
AAZ77691.1	GenBank
AAZ77692.1	GenBank
AAZ77693.1	GenBank
AAZ77694.1	GenBank
AAZ77695.1	GenBank
AAZ77696.1	GenBank
AAZ77697.1	GenBank
AAZ77698.1	GenBank
AAZ77699.1	GenBank
AAZ77700.1	GenBank
AAZ77701.1	GenBank
AAZ77702.1	GenBank
AAZ77703.1	GenBank
AAZ77704.1	GenBank
AAZ77705.1	GenBank
AAZ77706.1	GenBank
AAZ77707.1	GenBank
ABI35990.1	GenBank
ABI35989.1	GenBank
ABI35991.1	GenBank
ANIA_06448	Not in NCBI
CAB60184.1	GenBank
CAB60185.1	GenBank
CAB60186.1	GenBank
CAB60187.1	GenBank
CAB60188.1	GenBank
CAB60189.1	GenBank
CAD55505.1	GenBank
CAC22143.1	GenBank
CAC22144.1	GenBank
CAC22145.1	GenBank
CAD55506.1	GenBank
CAC37877.1	GenBank
CAC37878.1	GenBank
CAC37879.1	GenBank
CAC37880.1	GenBank
CAC37881.1	GenBank
CAC37882.1	GenBank
CAC37883.1	GenBank
CAC37884.1	GenBank
CAC37885.1	GenBank
CAC37886.1	GenBank
CAC37887.1	GenBank
CAC37888.1	GenBank
CAC37890.1	GenBank
BAC20561.1	GenBank
BAC20562.1	GenBank
BAC20563.1	GenBank
BAC20564.1	GenBank
BAC20565.1	GenBank
BAC20566.1	GenBank
BAC20567.1	GenBank
BAC20568.1	GenBank
BAC20569.1	GenBank
AAZ94383.1	GenBank
AAZ94384.1	GenBank
AAZ94385.1	GenBank
AAZ94386.1	GenBank
AAZ94387.1	GenBank
AAZ94388.1	GenBank
AAZ94389.1	GenBank
AAZ94390.1	GenBank
AAZ94391.1	GenBank
AAZ94392.1	GenBank
AAZ94393.1	GenBank
AAZ94394.1	GenBank
AAZ94395.1	GenBank
AAZ94396.1	GenBank
AAZ94397.1	GenBank
AAZ94398.1	GenBank
AAZ94399.1	GenBank
AAZ94400.1	GenBank
AAZ94401.1	GenBank
AAZ94402.1	GenBank
AAZ94403.1	GenBank
AAZ94404.1	GenBank
AAZ94405.1	GenBank
AAZ94406.1	GenBank
AAZ94407.1	GenBank
AAZ94408.1	GenBank
AAZ94409.1	GenBank
AAZ94410.1	GenBank
AAD03047.1	GenBank
AAD03048.1	GenBank
BAO66509.1	GenBank
BAO66510.1	GenBank
BAO66511.1	GenBank
BAO66512.1	GenBank
BAO66513.1	GenBank
BAO66514.1	GenBank
BAO66515.1	GenBank
BAO66516.1	GenBank
BAO66517.1	GenBank
BAO66518.1	GenBank
BAO66519.1	GenBank
BAO66520.1	GenBank
BAO66521.1	GenBank
BAO66522.1	GenBank
BAO66523.1	GenBank
BAO66524.1	GenBank
BAO66525.1	GenBank
BAO66526.1	GenBank
BAO66527.1	GenBank
BAO66528.1	GenBank
BAO66529.1	GenBank
BAO66530.1	GenBank
BAO66531.1	GenBank
BAO66532.1	GenBank
BAO66533.1	GenBank
BAO66534.1	GenBank
BAO66535.1	GenBank
BAO66536.1	GenBank
BAO66537.1	GenBank
BAO66538.1	GenBank
BAO66539.1	GenBank
BAO66540.1	GenBank
BAO66541.1	GenBank
BAO66542.1	GenBank
BAO66543.1	GenBank
BAO66544.1	GenBank
BAO66545.1	GenBank
BAO66546.1	GenBank
BAO66547.1	GenBank
BAO66548.1	GenBank
ACV42478.1	GenBank
ACV42479.1	GenBank
ACV42480.1	GenBank
ACV42481.1	GenBank
STAUR_1572	Not in NCBI
STAUR_1573	Not in NCBI
STAUR_1574	Not in NCBI
STAUR_1575	Not in NCBI
STAUR_1576	Not in NCBI
STAUR_1577	Not in NCBI
STAUR_1578	Not in NCBI
STAUR_1579	Not in NCBI
STAUR_1580	Not in NCBI
AGC95328.1	GenBank
AGC95321.1	GenBank
AGC95322.1	GenBank
AGC95323.1	GenBank
AGC95324.1	GenBank
AGC95325.1	GenBank
AGC95326.1	GenBank
AGC95327.1	GenBank
ACZ57550.1	GenBank
ACZ57545.1	GenBank
ACZ57546.1	GenBank
ACZ57547.1	GenBank
ACZ57548.1	GenBank
ACZ57549.1	GenBank
ABB52538.1	GenBank
ABB52537.1	GenBank
ABB52536.1	GenBank
ABB52535.1	GenBank
ABB52534.1	GenBank
ABB52533.1	GenBank
ABB52532.1	GenBank
ABB52531.1	GenBank
ABB52530.1	GenBank
ABB52529.1	GenBank
ABB52528.1	GenBank
ABB52527.1	GenBank
ABB52526.1	GenBank
ABB52525.1	GenBank
