accession	source
BGC0000924	MIBiG
BGC0000925	MIBiG
BGC0000926	MIBiG
BGC0000927	MIBiG
BGC0000929	MIBiG
BGC0000930	MIBiG
BGC0000932	MIBiG
BGC0000933	MIBiG
BGC0000934	MIBiG
BGC0000935	MIBiG
BGC0000936	MIBiG
BGC0000937	MIBiG
BGC0000938	MIBiG
BGC0000939	MIBiG
BGC0000940	MIBiG
BGC0000941	MIBiG
BGC0000942	MIBiG
BGC0000943	MIBiG
BGC0000944	MIBiG
BGC0000945	MIBiG
BGC0000946	MIBiG
BGC0000947	MIBiG
BGC0000948	MIBiG
BGC0000949	MIBiG
BGC0000950	MIBiG
BGC0000951	MIBiG
BGC0000953	MIBiG
BGC0000954	MIBiG
BGC0000955	MIBiG
BGC0000956	MIBiG
BGC0000957	MIBiG
BGC0000958	MIBiG
BGC0000959	MIBiG
BGC0000960	MIBiG
BGC0000961	MIBiG
BGC0000963	MIBiG
BGC0000964	MIBiG
BGC0000965	MIBiG
BGC0000966	MIBiG
BGC0000967	MIBiG
BGC0000968	MIBiG
BGC0000969	MIBiG
BGC0000970	MIBiG
BGC0000971	MIBiG
BGC0000972	MIBiG
BGC0000973	MIBiG
BGC0000974	MIBiG
BGC0000975	MIBiG
BGC0000976	MIBiG
BGC0000977	MIBiG
BGC0000978	MIBiG
BGC0000979	MIBiG
BGC0000980	MIBiG
BGC0000981	MIBiG
BGC0000982	MIBiG
BGC0000983	MIBiG
BGC0000984	MIBiG
BGC0000985	MIBiG
BGC0000986	MIBiG
BGC0000988	MIBiG
BGC0000989	MIBiG
BGC0000990	MIBiG
BGC0000991	MIBiG
BGC0000992	MIBiG
BGC0000993	MIBiG
BGC0000994	MIBiG
BGC0000995	MIBiG
BGC0000996	MIBiG
BGC0000997	MIBiG
BGC0000998	MIBiG
BGC0000999	MIBiG
BGC0001000	MIBiG
BGC0001001	MIBiG
BGC0001002	MIBiG
BGC0001003	MIBiG
BGC0001004	MIBiG
BGC0001005	MIBiG
BGC0001006	MIBiG
BGC0001007	MIBiG
BGC0001008	MIBiG
BGC0001010	MIBiG
BGC0001011	MIBiG
BGC0001012	MIBiG
BGC0001013	MIBiG
BGC0001014	MIBiG
BGC0001015	MIBiG
BGC0001016	MIBiG
BGC0001017	MIBiG
BGC0001018	MIBiG
BGC0001019	MIBiG
BGC0001020	MIBiG
BGC0001021	MIBiG
BGC0001022	MIBiG
BGC0001023	MIBiG
BGC0001024	MIBiG
BGC0001025	MIBiG
BGC0001026	MIBiG
BGC0001027	MIBiG
BGC0001028	MIBiG
BGC0001029	MIBiG
BGC0001030	MIBiG
BGC0001031	MIBiG
BGC0001032	MIBiG
BGC0001033	MIBiG
BGC0001034	MIBiG
BGC0001035	MIBiG
BGC0001036	MIBiG
BGC0001037	MIBiG
BGC0001038	MIBiG
BGC0001039	MIBiG
BGC0001040	MIBiG
BGC0001041	MIBiG
BGC0001042	MIBiG
BGC0001043	MIBiG
BGC0001044	MIBiG
BGC0001045	MIBiG
BGC0001046	MIBiG
BGC0001047	MIBiG
BGC0001048	MIBiG
BGC0001049	MIBiG
BGC0001050	MIBiG
BGC0001051	MIBiG
BGC0001052	MIBiG
BGC0001053	MIBiG
BGC0001054	MIBiG
BGC0001055	MIBiG
BGC0001056	MIBiG
BGC0001057	MIBiG
BGC0001058	MIBiG
BGC0001059	MIBiG
BGC0001060	MIBiG
BGC0001061	MIBiG
BGC0001062	MIBiG
BGC0001063	MIBiG
BGC0001064	MIBiG
BGC0001065	MIBiG
BGC0001066	MIBiG
BGC0001067	MIBiG
BGC0001069	MIBiG
BGC0001070	MIBiG
BGC0001071	MIBiG
BGC0001072	MIBiG
BGC0001073	MIBiG
BGC0001074	MIBiG
BGC0001075	MIBiG
BGC0001076	MIBiG
BGC0001077	MIBiG
BGC0001078	MIBiG
BGC0001079	MIBiG
BGC0001080	MIBiG
BGC0001082	MIBiG
BGC0001083	MIBiG
BGC0001084	MIBiG
BGC0001088	MIBiG
BGC0001089	MIBiG
BGC0001090	MIBiG
BGC0001091	MIBiG
BGC0001093	MIBiG
BGC0001094	MIBiG
BGC0001095	MIBiG
BGC0001098	MIBiG
BGC0001099	MIBiG
BGC0001100	MIBiG
BGC0001101	MIBiG
BGC0001102	MIBiG
BGC0001103	MIBiG
BGC0001105	MIBiG
BGC0001106	MIBiG
BGC0001108	MIBiG
BGC0001109	MIBiG
BGC0001110	MIBiG
BGC0001111	MIBiG
BGC0001112	MIBiG
BGC0001113	MIBiG
BGC0001114	MIBiG
BGC0001115	MIBiG
BGC0001116	MIBiG
BGC0001117	MIBiG
BGC0001118	MIBiG
BGC0001119	MIBiG
BGC0001122	MIBiG
BGC0001123	MIBiG
BGC0001124	MIBiG
BGC0001125	MIBiG
